productCode,name,description,singlePrice,cartonPcsPrice,cartonQty,gstPercentage,hsnCode,weight,stock,category,subCategory,isBestseller,isNewArrival,isTopRanking,imageUrl,imageUrls,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10
BZ-06,,,,,,,,,,,basic,false,false,false,/uploads/BZ-06-1773662022276-v77t4w3ce.jpg,/uploads/BZ-06-1773662022276-v77t4w3ce.jpg|/uploads/BZ-06-1773662022281-oq3wbeg7v.jpg|/uploads/BZ-06-1773662022288-miw59p64p.jpg|/uploads/BZ-06-1773662022293-dmykqjvj9.jpg|/uploads/BZ-06-1773662022298-fw7u5yvwb.jpg|/uploads/BZ-06-1773662022306-qwwr7wi1v.jpg,/uploads/BZ-06-1773662022276-v77t4w3ce.jpg,/uploads/BZ-06-1773662022281-oq3wbeg7v.jpg,/uploads/BZ-06-1773662022288-miw59p64p.jpg,/uploads/BZ-06-1773662022293-dmykqjvj9.jpg,/uploads/BZ-06-1773662022298-fw7u5yvwb.jpg,/uploads/BZ-06-1773662022306-qwwr7wi1v.jpg,,,,
BZ-09,,,,,,,,,,,basic,false,false,false,/uploads/BZ-09-1773662022313-u6lkxkr2c.jpg,/uploads/BZ-09-1773662022313-u6lkxkr2c.jpg|/uploads/BZ-09-1773662022320-yhdovszdh.jpg|/uploads/BZ-09-1773662022326-ock6ls6l9.jpg,/uploads/BZ-09-1773662022313-u6lkxkr2c.jpg,/uploads/BZ-09-1773662022320-yhdovszdh.jpg,/uploads/BZ-09-1773662022326-ock6ls6l9.jpg,,,,,,,
BZ-104,,,,,,,,,,,basic,false,false,false,/uploads/BZ-104-1773662022348-9gf0th90q.jpg,/uploads/BZ-104-1773662022348-9gf0th90q.jpg|/uploads/BZ-104-1773662022355-ugoc32evo.jpg|/uploads/BZ-104-1773662022360-l98bkirgp.jpg|/uploads/BZ-104-1773662022365-wierycen0.jpg|/uploads/BZ-104-1773662022371-x9mqqg22u.jpg,/uploads/BZ-104-1773662022348-9gf0th90q.jpg,/uploads/BZ-104-1773662022355-ugoc32evo.jpg,/uploads/BZ-104-1773662022360-l98bkirgp.jpg,/uploads/BZ-104-1773662022365-wierycen0.jpg,/uploads/BZ-104-1773662022371-x9mqqg22u.jpg,,,,,
BZ-106,,,,,,,,,,,basic,false,false,false,/uploads/BZ-106-1773662022380-h4t23dspq.jpg,/uploads/BZ-106-1773662022380-h4t23dspq.jpg|/uploads/BZ-106-1773662022384-zt7jrbbnz.jpg|/uploads/BZ-106-1773662022388-arwak4z3m.jpg|/uploads/BZ-106-1773662022392-hgakr7poj.jpg|/uploads/BZ-106-1773662022395-swkqmy08q.jpg|/uploads/BZ-106-1773662022399-kgy2n27xv.jpg,/uploads/BZ-106-1773662022380-h4t23dspq.jpg,/uploads/BZ-106-1773662022384-zt7jrbbnz.jpg,/uploads/BZ-106-1773662022388-arwak4z3m.jpg,/uploads/BZ-106-1773662022392-hgakr7poj.jpg,/uploads/BZ-106-1773662022395-swkqmy08q.jpg,/uploads/BZ-106-1773662022399-kgy2n27xv.jpg,,,,
BZ-107,,,,,,,,,,,basic,false,false,false,/uploads/BZ-107-1773662022403-4saur8ffm.jpg,/uploads/BZ-107-1773662022403-4saur8ffm.jpg,/uploads/BZ-107-1773662022403-4saur8ffm.jpg,,,,,,,,,
BZ-108,,,,,,,,,,,basic,false,false,false,/uploads/BZ-108-1773662022408-3wu9lop8g.jpg,/uploads/BZ-108-1773662022408-3wu9lop8g.jpg|/uploads/BZ-108-1773662022411-jjs8vqpi0.jpg|/uploads/BZ-108-1773662022415-o1c0j0sdp.jpg|/uploads/BZ-108-1773662022420-ttja7jpne.jpg|/uploads/BZ-108-1773662022424-adek24955.jpg,/uploads/BZ-108-1773662022408-3wu9lop8g.jpg,/uploads/BZ-108-1773662022411-jjs8vqpi0.jpg,/uploads/BZ-108-1773662022415-o1c0j0sdp.jpg,/uploads/BZ-108-1773662022420-ttja7jpne.jpg,/uploads/BZ-108-1773662022424-adek24955.jpg,,,,,
BZ-113,,,,,,,,,,,basic,false,false,false,/uploads/BZ-113-1773662022429-783ebnnr2.jpg,/uploads/BZ-113-1773662022429-783ebnnr2.jpg|/uploads/BZ-113-1773662022433-1xyxkjyiu.jpg|/uploads/BZ-113-1773662022437-5nstbh491.jpg|/uploads/BZ-113-1773662022441-8tw8hxme8.jpg|/uploads/BZ-113-1773662022445-2dx5749al.jpg,/uploads/BZ-113-1773662022429-783ebnnr2.jpg,/uploads/BZ-113-1773662022433-1xyxkjyiu.jpg,/uploads/BZ-113-1773662022437-5nstbh491.jpg,/uploads/BZ-113-1773662022441-8tw8hxme8.jpg,/uploads/BZ-113-1773662022445-2dx5749al.jpg,,,,,
BZ-114,,,,,,,,,,,basic,false,false,false,/uploads/BZ-114-1773662022450-ql0f7fajf.jpg,/uploads/BZ-114-1773662022450-ql0f7fajf.jpg|/uploads/BZ-114-1773662022454-cyktedwd7.jpg|/uploads/BZ-114-1773662022458-zt464atyg.jpg|/uploads/BZ-114-1773662022461-sw2goma3d.jpg,/uploads/BZ-114-1773662022450-ql0f7fajf.jpg,/uploads/BZ-114-1773662022454-cyktedwd7.jpg,/uploads/BZ-114-1773662022458-zt464atyg.jpg,/uploads/BZ-114-1773662022461-sw2goma3d.jpg,,,,,,
BZ-1181,,,,,,,,,,,basic,false,false,false,/uploads/BZ-1181-1773662022468-klajp162l.jpg,/uploads/BZ-1181-1773662022468-klajp162l.jpg|/uploads/BZ-1181-1773662022472-84nqo2zsm.jpg|/uploads/BZ-1181-1773662022477-r3sdtkh8b.jpg|/uploads/BZ-1181-1773662022481-ce2rywrxj.jpg|/uploads/BZ-1181-1773662022485-d7bxyk84w.jpg,/uploads/BZ-1181-1773662022468-klajp162l.jpg,/uploads/BZ-1181-1773662022472-84nqo2zsm.jpg,/uploads/BZ-1181-1773662022477-r3sdtkh8b.jpg,/uploads/BZ-1181-1773662022481-ce2rywrxj.jpg,/uploads/BZ-1181-1773662022485-d7bxyk84w.jpg,,,,,
BZ-120,,,,,,,,,,,basic,false,false,false,/uploads/BZ-120-1773662022490-uca5l0ug8.jpg,/uploads/BZ-120-1773662022490-uca5l0ug8.jpg|/uploads/BZ-120-1773662022493-fv3ezc7qv.jpg|/uploads/BZ-120-1773662022498-i2rhvcjk5.jpg|/uploads/BZ-120-1773662022503-mneayb2f2.jpg|/uploads/BZ-120-1773662022507-k5y8a2fw7.jpg,/uploads/BZ-120-1773662022490-uca5l0ug8.jpg,/uploads/BZ-120-1773662022493-fv3ezc7qv.jpg,/uploads/BZ-120-1773662022498-i2rhvcjk5.jpg,/uploads/BZ-120-1773662022503-mneayb2f2.jpg,/uploads/BZ-120-1773662022507-k5y8a2fw7.jpg,,,,,
BZ-121,,,,,,,,,,,basic,false,false,false,/uploads/BZ-121-1773662022512-awlmr5597.jpg,/uploads/BZ-121-1773662022512-awlmr5597.jpg|/uploads/BZ-121-1773662022516-oc42q66fc.jpg|/uploads/BZ-121-1773662022520-v84g7n4kb.jpg|/uploads/BZ-121-1773662022525-cv8ryuvl1.jpg,/uploads/BZ-121-1773662022512-awlmr5597.jpg,/uploads/BZ-121-1773662022516-oc42q66fc.jpg,/uploads/BZ-121-1773662022520-v84g7n4kb.jpg,/uploads/BZ-121-1773662022525-cv8ryuvl1.jpg,,,,,,
BZ-122,,,,,,,,,,,basic,false,false,false,/uploads/BZ-122-1773662022529-m695ulsim.jpg,/uploads/BZ-122-1773662022529-m695ulsim.jpg|/uploads/BZ-122-1773662022533-htihgnmon.jpg|/uploads/BZ-122-1773662022538-ennhlcwn3.jpg,/uploads/BZ-122-1773662022529-m695ulsim.jpg,/uploads/BZ-122-1773662022533-htihgnmon.jpg,/uploads/BZ-122-1773662022538-ennhlcwn3.jpg,,,,,,,
BZ-131,,,,,,,,,,,basic,false,false,false,/uploads/BZ-131-1773662022542-hhffxr7py.jpg,/uploads/BZ-131-1773662022542-hhffxr7py.jpg,/uploads/BZ-131-1773662022542-hhffxr7py.jpg,,,,,,,,,
BZ-143,,,,,,,,,,,basic,false,false,false,/uploads/BZ-143-1773662022546-xo9o04j6c.jpg,/uploads/BZ-143-1773662022546-xo9o04j6c.jpg|/uploads/BZ-143-1773662022551-sy0qmi9kb.jpg|/uploads/BZ-143-1773662022555-jr57mxpcp.jpg|/uploads/BZ-143-1773662022559-absh9iu01.jpg,/uploads/BZ-143-1773662022546-xo9o04j6c.jpg,/uploads/BZ-143-1773662022551-sy0qmi9kb.jpg,/uploads/BZ-143-1773662022555-jr57mxpcp.jpg,/uploads/BZ-143-1773662022559-absh9iu01.jpg,,,,,,
